species,assembly_type,software,field,operator,value,severity,source,special_field
Acinetobacter nosocomialis,all,Quast,Total length (>= 0 bp),>=,3700000,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Quast,Total length (>= 0 bp),>=,3800000,warn,qualibact-v1.0,
Acinetobacter nosocomialis,all,Speciator,confidence,regex,^good$,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Speciator,genusName,regex,^Acinetobacter,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Speciator,speciesName,regex,^Acinetobacter nosocomialis,fail,qualibact-v1.0,species_field
Acinetobacter nosocomialis,all,Sylph,number_of_genomes,=,1,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Sylph,species_name,regex,^Acinetobacter nosocomialis,fail,qualibact-v1.0,species_field
Acinetobacter nosocomialis,short,Checkm,# contigs,<=,430,fail,qualibact-v1.0,
Acinetobacter nosocomialis,short,Checkm,# contigs,<=,290,warn,qualibact-v1.0,
Acinetobacter nosocomialis,short,Checkm,N50 (scaffolds),>=,20000,fail,qualibact-v1.0,
Acinetobacter nosocomialis,short,Checkm,N50 (scaffolds),>=,29000,warn,qualibact-v1.0,
Acinetobacter nosocomialis,short,Quast,# contigs (>= 0 bp),<=,430,fail,qualibact-v1.0,
Acinetobacter nosocomialis,short,Quast,# contigs (>= 0 bp),<=,290,warn,qualibact-v1.0,
Acinetobacter nosocomialis,short,Quast,N50,>=,20000,fail,qualibact-v1.0,
Acinetobacter nosocomialis,short,Quast,N50,>=,29000,warn,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Completeness,>=,97,fail,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Completeness,>=,99,warn,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Contamination,<=,2,fail,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Contamination,<=,1,warn,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,GC,<=,39.18,fail,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,GC,<=,38.91,warn,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,GC,>=,38.47,fail,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,GC,>=,38.56,warn,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Genome size (bp),<=,4500000,fail,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Genome size (bp),<=,4300000,warn,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Genome size (bp),>=,3600000,fail,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Genome size (bp),>=,3700000,warn,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Total_Coding_Sequences,<=,4400,fail,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Total_Coding_Sequences,<=,4100,warn,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Total_Coding_Sequences,>=,3400,fail,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Total_Coding_Sequences,>=,3500,warn,qualibact-v1.0,
Acinetobacter pittii,all,Quast,GC (%),<=,39.18,fail,qualibact-v1.0,
Acinetobacter pittii,all,Quast,GC (%),<=,38.91,warn,qualibact-v1.0,
Acinetobacter pittii,all,Quast,GC (%),>=,38.47,fail,qualibact-v1.0,
Acinetobacter pittii,all,Quast,GC (%),>=,38.56,warn,qualibact-v1.0,
Acinetobacter pittii,all,Quast,Total length (>= 0 bp),<=,4500000,fail,qualibact-v1.0,
Acinetobacter pittii,all,Quast,Total length (>= 0 bp),<=,4300000,warn,qualibact-v1.0,
Acinetobacter pittii,all,Quast,Total length (>= 0 bp),>=,3600000,fail,qualibact-v1.0,
Acinetobacter pittii,all,Quast,Total length (>= 0 bp),>=,3700000,warn,qualibact-v1.0,
Acinetobacter pittii,all,Speciator,confidence,regex,^good$,fail,qualibact-v1.0,
Acinetobacter pittii,all,Speciator,genusName,regex,^Acinetobacter,fail,qualibact-v1.0,
Acinetobacter pittii,all,Speciator,speciesName,regex,^Acinetobacter pittii,fail,qualibact-v1.0,species_field
Acinetobacter pittii,all,Sylph,number_of_genomes,=,1,fail,qualibact-v1.0,
Acinetobacter pittii,all,Sylph,species_name,regex,^Acinetobacter pittii,fail,qualibact-v1.0,species_field
Acinetobacter pittii,short,Checkm,# contigs,<=,300,fail,qualibact-v1.0,
Acinetobacter pittii,short,Checkm,# contigs,<=,200,warn,qualibact-v1.0,
Acinetobacter pittii,short,Checkm,N50 (scaffolds),>=,30000,fail,qualibact-v1.0,
Acinetobacter pittii,short,Checkm,N50 (scaffolds),>=,51000,warn,qualibact-v1.0,
Acinetobacter pittii,short,Quast,# contigs (>= 0 bp),<=,300,fail,qualibact-v1.0,
Acinetobacter pittii,short,Quast,# contigs (>= 0 bp),<=,200,warn,qualibact-v1.0,
Acinetobacter pittii,short,Quast,N50,>=,30000,fail,qualibact-v1.0,
Acinetobacter pittii,short,Quast,N50,>=,51000,warn,qualibact-v1.0,
Acinetobacter radioresistens,all,Checkm,Completeness,>=,97,fail,qualibact-v1.0,
Acinetobacter radioresistens,all,Checkm,Completeness,>=,100,warn,qualibact-v1.0,
Acinetobacter radioresistens,all,Checkm,Contamination,<=,2,fail,qualibact-v1.0,
Acinetobacter radioresistens,all,Checkm,Contamination,<=,1,warn,qualibact-v1.0,
Acinetobacter radioresistens,all,Checkm,GC,<=,41.85,fail,qualibact-v1.0,
Acinetobacter radioresistens,all,Checkm,GC,<=,41.75,warn,qualibact-v1.0,
Acinetobacter radioresistens,all,Checkm,GC,>=,41.16,fail,qualibact-v1.0,
Acinetobacter radioresistens,all,Checkm,GC,>=,41.32,warn,qualibact-v1.0,
Acinetobacter radioresistens,all,Checkm,Genome size (bp),<=,3500000,fail,qualibact-v1.0,
Acinetobacter radioresistens,all,Checkm,Genome size (bp),<=,3500000,warn,qualibact-v1.0,
Acinetobacter radioresistens,all,Checkm,Genome size (bp),>=,2900000,fail,qualibact-v1.0,
Acinetobacter radioresistens,all,Checkm,Genome size (bp),>=,2900000,warn,qualibact-v1.0,
Acinetobacter radioresistens,all,Checkm,Total_Coding_Sequences,<=,3400,fail,qualibact-v1.0,
Acinetobacter radioresistens,all,Checkm,Total_Coding_Sequences,<=,3400,warn,qualibact-v1.0,
Acinetobacter radioresistens,all,Checkm,Total_Coding_Sequences,>=,2700,fail,qualibact-v1.0,
Acinetobacter radioresistens,all,Checkm,Total_Coding_Sequences,>=,2700,warn,qualibact-v1.0,
Acinetobacter radioresistens,all,Quast,GC (%),<=,41.85,fail,qualibact-v1.0,
Acinetobacter radioresistens,all,Quast,GC (%),<=,41.75,warn,qualibact-v1.0,
Acinetobacter radioresistens,all,Quast,GC (%),>=,41.16,fail,qualibact-v1.0,
Acinetobacter radioresistens,all,Quast,GC (%),>=,41.32,warn,qualibact-v1.0,
Acinetobacter radioresistens,all,Quast,Total length (>= 0 bp),<=,3500000,fail,qualibact-v1.0,
Acinetobacter radioresistens,all,Quast,Total length (>= 0 bp),<=,3500000,warn,qualibact-v1.0,
Acinetobacter radioresistens,all,Quast,Total length (>= 0 bp),>=,2900000,fail,qualibact-v1.0,
Acinetobacter radioresistens,all,Quast,Total length (>= 0 bp),>=,2900000,warn,qualibact-v1.0,
Acinetobacter radioresistens,all,Speciator,confidence,regex,^good$,fail,qualibact-v1.0,
Acinetobacter radioresistens,all,Speciator,genusName,regex,^Acinetobacter,fail,qualibact-v1.0,
Acinetobacter radioresistens,all,Speciator,speciesName,regex,^Acinetobacter radioresistens,fail,qualibact-v1.0,species_field
Acinetobacter radioresistens,all,Sylph,number_of_genomes,=,1,fail,qualibact-v1.0,
Acinetobacter radioresistens,all,Sylph,species_name,regex,^Acinetobacter radioresistens,fail,qualibact-v1.0,species_field
Acinetobacter radioresistens,short,Checkm,# contigs,<=,180,fail,qualibact-v1.0,
Acinetobacter radioresistens,short,Checkm,# contigs,<=,160,warn,qualibact-v1.0,
Acinetobacter radioresistens,short,Checkm,N50 (scaffolds),>=,45000,fail,qualibact-v1.0,
Acinetobacter radioresistens,short,Checkm,N50 (scaffolds),>=,54000,warn,qualibact-v1.0,
Acinetobacter radioresistens,short,Quast,# contigs (>= 0 bp),<=,180,fail,qualibact-v1.0,
Acinetobacter radioresistens,short,Quast,# contigs (>= 0 bp),<=,160,warn,qualibact-v1.0,
Acinetobacter radioresistens,short,Quast,N50,>=,45000,fail,qualibact-v1.0,
Acinetobacter radioresistens,short,Quast,N50,>=,54000,warn,qualibact-v1.0,
Acinetobacter ursingii,all,Checkm,Completeness,>=,99,fail,qualibact-v1.0,
Acinetobacter ursingii,all,Checkm,Completeness,>=,99,warn,qualibact-v1.0,
Acinetobacter ursingii,all,Checkm,Contamination,<=,2,fail,qualibact-v1.0,
Acinetobacter ursingii,all,Checkm,Contamination,<=,1,warn,qualibact-v1.0,
Acinetobacter ursingii,all,Checkm,GC,<=,40.35,fail,qualibact-v1.0,
Acinetobacter ursingii,all,Checkm,GC,<=,40.17,warn,qualibact-v1.0,
Acinetobacter ursingii,all,Checkm,GC,>=,39.72,fail,qualibact-v1.0,
Acinetobacter ursingii,all,Checkm,GC,>=,39.79,warn,qualibact-v1.0,
Acinetobacter ursingii,all,Checkm,Genome size (bp),<=,4200000,fail,qualibact-v1.0,
Acinetobacter ursingii,all,Checkm,Genome size (bp),<=,4000000,warn,qualibact-v1.0,
Acinetobacter ursingii,all,Checkm,Genome size (bp),>=,3200000,fail,qualibact-v1.0,
Acinetobacter ursingii,all,Checkm,Genome size (bp),>=,3300000,warn,qualibact-v1.0,
Acinetobacter ursingii,all,Checkm,Total_Coding_Sequences,<=,4000,fail,qualibact-v1.0,
Acinetobacter ursingii,all,Checkm,Total_Coding_Sequences,<=,3800,warn,qualibact-v1.0,
Acinetobacter ursingii,all,Checkm,Total_Coding_Sequences,>=,3000,fail,qualibact-v1.0,
Acinetobacter ursingii,all,Checkm,Total_Coding_Sequences,>=,3100,warn,qualibact-v1.0,
Acinetobacter ursingii,all,Quast,GC (%),<=,40.35,fail,qualibact-v1.0,
Acinetobacter ursingii,all,Quast,GC (%),<=,40.17,warn,qualibact-v1.0,
Acinetobacter ursingii,all,Quast,GC (%),>=,39.72,fail,qualibact-v1.0,
Acinetobacter ursingii,all,Quast,GC (%),>=,39.79,warn,qualibact-v1.0,
Acinetobacter ursingii,all,Quast,Total length (>= 0 bp),<=,4200000,fail,qualibact-v1.0,
Acinetobacter ursingii,all,Quast,Total length (>= 0 bp),<=,4000000,warn,qualibact-v1.0,
Acinetobacter ursingii,all,Quast,Total length (>= 0 bp),>=,3200000,fail,qualibact-v1.0,
Acinetobacter ursingii,all,Quast,Total length (>= 0 bp),>=,3300000,warn,qualibact-v1.0,
Acinetobacter ursingii,all,Speciator,confidence,regex,^good$,fail,qualibact-v1.0,
Acinetobacter ursingii,all,Speciator,genusName,regex,^Acinetobacter,fail,qualibact-v1.0,
Acinetobacter ursingii,all,Speciator,speciesName,regex,^Acinetobacter ursingii,fail,qualibact-v1.0,species_field
Acinetobacter ursingii,all,Sylph,number_of_genomes,=,1,fail,qualibact-v1.0,
Acinetobacter ursingii,all,Sylph,species_name,regex,^Acinetobacter ursingii,fail,qualibact-v1.0,species_field
Acinetobacter ursingii,short,Checkm,# contigs,<=,260,fail,qualibact-v1.0,
Acinetobacter ursingii,short,Checkm,# contigs,<=,250,warn,qualibact-v1.0,
Acinetobacter ursingii,short,Checkm,N50 (scaffolds),>=,33000,fail,qualibact-v1.0,
